match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
162,1962,Quarterfinals,Czechoslovakia,Hungary,1.0,0.0,6.0,3.0,1,62886765830.733315,9620282.0,63547845000.0,10063000.0
163,1962,Quarterfinals,Brazil,England,3.0,1.0,7.0,12.0,1,282182176290.0,76039390.0,753069252000.0,53292000.0
165,1962,Semifinals,Czechoslovakia,Yugoslavia,3.0,1.0,6.0,10.0,1,62886765830.733315,9620282.0,74758500000.0,18500000.0
166,1962,Semifinals,Brazil,Chile,4.0,2.0,7.0,5.0,1,282182176290.0,76039390.0,56294055318.0,7961258.0
154,1962,Group Stage,Mexico,Czechoslovakia,3.0,1.0,36.0,6.0,1,200713968285.0,41121485.0,62886765830.733315,9620282.0
168,1962,Final,Brazil,Czechoslovakia,3.0,1.0,7.0,6.0,1,282182176290.0,76039390.0,62886765830.733315,9620282.0
161,1962,Quarterfinals,Chile,Soviet Union,2.0,1.0,5.0,12.0,1,56294055318.0,7961258.0,1459876973000.0,221227000.0
153,1962,Group Stage,Brazil,Spain,2.0,1.0,7.0,31.0,1,282182176290.0,76039390.0,189313560546.25327,31158061.0
167,1962,Third Place Match,Chile,Yugoslavia,1.0,0.0,5.0,10.0,1,56294055318.0,7961258.0,74758500000.0,18500000.0
151,1962,Group Stage,Brazil,Czechoslovakia,0.0,0.0,7.0,6.0,0,282182176290.0,76039390.0,62886765830.733315,9620282.0
137,1962,Group Stage,Uruguay,Colombia,2.0,1.0,2.0,12.0,1,19483298068.0,2598466.0,70335874475.0,17009885.0
138,1962,Group Stage,Soviet Union,Yugoslavia,2.0,0.0,12.0,10.0,1,1459876973000.0,221227000.0,74758500000.0,18500000.0
139,1962,Group Stage,Yugoslavia,Uruguay,3.0,1.0,10.0,2.0,1,74758500000.0,18500000.0,19483298068.0,2598466.0
140,1962,Group Stage,Soviet Union,Colombia,4.0,4.0,12.0,12.0,0,1459876973000.0,221227000.0,70335874475.0,17009885.0
141,1962,Group Stage,Soviet Union,Uruguay,2.0,1.0,12.0,2.0,1,1459876973000.0,221227000.0,19483298068.0,2598466.0
142,1962,Group Stage,Yugoslavia,Colombia,5.0,0.0,10.0,12.0,1,74758500000.0,18500000.0,70335874475.0,17009885.0
143,1962,Group Stage,Chile,Switzerland,3.0,1.0,5.0,9.0,1,56294055318.0,7961258.0,100820670792.32692,5666000.0
152,1962,Group Stage,Spain,Mexico,1.0,0.0,31.0,36.0,1,189313560546.25327,31158061.0,200713968285.0,41121485.0
145,1962,Group Stage,Chile,Italy,2.0,0.0,5.0,1.0,1,56294055318.0,7961258.0,553275702400.0,50843200.0
146,1962,Group Stage,West Germany,Switzerland,2.0,1.0,12.0,9.0,1,966424867402.0,73739117.0,100820670792.32692,5666000.0
147,1962,Group Stage,West Germany,Chile,2.0,0.0,12.0,5.0,1,966424867402.0,73739117.0,56294055318.0,7961258.0
148,1962,Group Stage,Italy,Switzerland,3.0,0.0,1.0,9.0,1,553275702400.0,50843200.0,100820670792.32692,5666000.0
149,1962,Group Stage,Brazil,Mexico,2.0,0.0,7.0,36.0,1,282182176290.0,76039390.0,200713968285.0,41121485.0
150,1962,Group Stage,Czechoslovakia,Spain,1.0,0.0,6.0,31.0,1,62886765830.733315,9620282.0,189313560546.25327,31158061.0
144,1962,Group Stage,West Germany,Italy,0.0,0.0,12.0,1.0,0,966424867402.0,73739117.0,553275702400.0,50843200.0
186,1966,Group Stage,Hungary,Bulgaria,3.0,1.0,3.0,12.0,1,75426858766.0,10184561.0,54296724775.00001,8258057.000000001
187,1966,Group Stage,Soviet Union,North Korea,3.0,0.0,12.0,12.0,1,1785145323000.0,233139000.0,10053277894.975687,12337000.0
188,1966,Group Stage,Italy,Chile,2.0,0.0,1.0,5.0,1,662465724400.0,52331600.0,68132623176.0,8685954.0
189,1966,Group Stage,Chile,North Korea,1.0,1.0,5.0,12.0,0,68132623176.0,8685954.0,10053277894.975687,12337000.0
190,1966,Group Stage,Soviet Union,Italy,1.0,0.0,12.0,1.0,1,1785145323000.0,233139000.0,662465724400.0,52331600.0
